JobID|JobName|Partition|State|Start|End|AllocNodes|AllocCPUS|NodeList
396106.batch|batch||COMPLETED|2024-03-16T14:45:15|2024-03-16T14:46:25|1|16|shadowfax
396106.extern|extern||COMPLETED|2024-03-16T14:45:15|2024-03-16T14:46:25|1|16|shadowfax
404325|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:12:32|2024-03-20T21:12:43|1|16|shadowfax
404325.batch|batch||COMPLETED|2024-03-20T21:12:32|2024-03-20T21:12:43|1|16|shadowfax
404325.extern|extern||COMPLETED|2024-03-20T21:12:32|2024-03-20T21:12:43|1|16|shadowfax
404327|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:13:57|2024-03-20T21:14:07|1|16|shadowfax
404327.batch|batch||COMPLETED|2024-03-20T21:13:57|2024-03-20T21:14:07|1|16|shadowfax
404327.extern|extern||COMPLETED|2024-03-20T21:13:57|2024-03-20T21:14:07|1|16|shadowfax
404340|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:16:47|2024-03-20T21:16:49|1|16|shadowfax
404340.batch|batch||COMPLETED|2024-03-20T21:16:47|2024-03-20T21:16:49|1|16|shadowfax
404340.extern|extern||COMPLETED|2024-03-20T21:16:47|2024-03-20T21:16:49|1|16|shadowfax
404360|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:20:45|2024-03-20T21:20:50|1|16|shadowfax
404360.batch|batch||COMPLETED|2024-03-20T21:20:45|2024-03-20T21:20:50|1|16|shadowfax
404360.extern|extern||COMPLETED|2024-03-20T21:20:45|2024-03-20T21:20:50|1|16|shadowfax
404364|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:21:34|2024-03-20T21:21:37|1|16|shadowfax
404364.batch|batch||COMPLETED|2024-03-20T21:21:34|2024-03-20T21:21:37|1|16|shadowfax
404364.extern|extern||COMPLETED|2024-03-20T21:21:34|2024-03-20T21:21:37|1|16|shadowfax
404366|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:22:22|2024-03-20T21:22:24|1|16|shadowfax
404366.batch|batch||COMPLETED|2024-03-20T21:22:22|2024-03-20T21:22:24|1|16|shadowfax
404366.extern|extern||COMPLETED|2024-03-20T21:22:22|2024-03-20T21:22:24|1|16|shadowfax
404370|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:23:16|2024-03-20T21:23:23|1|16|shadowfax
404370.batch|batch||COMPLETED|2024-03-20T21:23:16|2024-03-20T21:23:23|1|16|shadowfax
404370.extern|extern||COMPLETED|2024-03-20T21:23:16|2024-03-20T21:23:23|1|16|shadowfax
404386|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:28:22|2024-03-20T21:28:28|1|16|shadowfax
404386.batch|batch||COMPLETED|2024-03-20T21:28:22|2024-03-20T21:28:28|1|16|shadowfax
404386.extern|extern||COMPLETED|2024-03-20T21:28:22|2024-03-20T21:28:28|1|16|shadowfax
404391|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:29:33|2024-03-20T21:30:07|1|16|shadowfax
404391.batch|batch||COMPLETED|2024-03-20T21:29:33|2024-03-20T21:30:07|1|16|shadowfax
404391.extern|extern||COMPLETED|2024-03-20T21:29:33|2024-03-20T21:30:07|1|16|shadowfax
404406|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:33:26|2024-03-20T21:34:02|1|16|shadowfax
404406.batch|batch||COMPLETED|2024-03-20T21:33:26|2024-03-20T21:34:02|1|16|shadowfax
404406.extern|extern||COMPLETED|2024-03-20T21:33:26|2024-03-20T21:34:02|1|16|shadowfax
404414|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:36:00|2024-03-20T21:36:37|1|16|shadowfax
404414.batch|batch||COMPLETED|2024-03-20T21:36:00|2024-03-20T21:36:37|1|16|shadowfax
404414.extern|extern||COMPLETED|2024-03-20T21:36:00|2024-03-20T21:36:37|1|16|shadowfax
404426|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:38:32|2024-03-20T21:39:14|1|16|shadowfax
404426.batch|batch||COMPLETED|2024-03-20T21:38:32|2024-03-20T21:39:14|1|16|shadowfax
404426.extern|extern||COMPLETED|2024-03-20T21:38:32|2024-03-20T21:39:14|1|16|shadowfax
404494|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:45:38|2024-03-20T21:46:15|1|16|shadowfax
404494.batch|batch||COMPLETED|2024-03-20T21:45:38|2024-03-20T21:46:15|1|16|shadowfax
404494.extern|extern||COMPLETED|2024-03-20T21:45:38|2024-03-20T21:46:15|1|16|shadowfax
404567|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:53:09|2024-03-20T21:53:45|1|16|shadowfax
404567.batch|batch||COMPLETED|2024-03-20T21:53:09|2024-03-20T21:53:45|1|16|shadowfax
404567.extern|extern||COMPLETED|2024-03-20T21:53:09|2024-03-20T21:53:45|1|16|shadowfax
